TimeStamp,LineCount,Distance 
19-05-2024_17-59-15.jpg,45,51
19-09-2024_21-50-53.jpg,45,51
19-05-2024_19-21-54.jpg,45,51
frame_45000.jpg,45,51
19-09-2024_20-45-59.jpg,45,51
19-09-2024_10-41-56.jpg,45,51
19-09-2024_14-46-43.jpg,45,51
19-09-2024_14-49-43.jpg,45,51
19-03-2024_16-26-52.jpg,45,51
19-09-2024_22-54-18.jpg,45,51
19-09-2024_23-15-59.jpg,45,51
19-09-2024_16-47-53.jpg,45,51
13-09-2024_17-60-16.jpg,45,51
19-09-2024_22-49-18.jpg,45,51
19-05-2024_16-45-53.jpg,45,51
19-09-2024_22-15-53.jpg,45,51
19-09-2024_21-07-38.jpg,45,51
19-09-2024_15-49-47.jpg,45,51
19-09-2024_22-52-18.jpg,45,51
19-05-2024_14-32-43.jpg,45,51
19-09-2024_17-29-15.jpg,45,51
19-09-2024_23-47-38.jpg,45,51
19-09-2024_18-56-56.jpg,45,51
19-09-2024_23-22-59.jpg,45,51
19-03-2024_16-10-52.jpg,45,51
19-09-2024_20-52-59.jpg,45,51
19-09-2024_15-34-47.jpg,45,51
19-09-2024_22-33-38.jpg,45,51
19-09-2024_17-02-16.jpg,45,51
19-09-2024_21-49-18.jpg,45,51
19-09-2024_17-40-15.jpg,45,51
19-09-2024_20-57-59.jpg,45,51
19-09-2024_21-10-38.jpg,45,51
is_-09-2024_23-33-59.jpg,45,51
19-09-2024_16-55-16.jpg,45,51
19-09-2024_23-50-38.jpg,45,51
19-09-2024_21-11-38.jpg,45,51
19-09-2024_17-08-16.jpg,45,51
19-05-2024_14-28-43.jpg,45,51
19-03-2024_18-05-52.jpg,45,51
13-03-2024_16-48_53.jpg,45,51
19-09-2024_21-46-18.jpg,45,51
19-09-2024_21-53-53.jpg,45,51
19-05-2024_17-48-15.jpg,45,51
19-09-2024_17-51-15.jpg,45,51
19-05-2024_17-09-16.jpg,45,51
19-09-2024_22-27-38.jpg,45,51
19-05-2024_22-46-18.jpg,45,51
19-09-2024_22-14-53.jpg,45,51
19-09-2024_22-06-05.jpg,45,51
19-05-2024_15-51-47.jpg,45,51
19-09-2024_17-37-15.jpg,45,51
19-09-2024_23-36-38.jpg,45,51
19-05-2024_20-05-19.jpg,45,51
